Driver,Location,Year,Team,EventDate,Team_Pace_EMA,Driver_Teammate_Gap_EMA,Driver_Consistency_EMA,Degradation_EMA
HAM,Monaco,2022,Mercedes,2022-05-29,-0.6553633377307932,0.2451165819304007,5.07124879199158,-0.1746505621251577
LAT,Monaco,2022,Williams,2022-05-29,0.9016212312335212,-0.3854280238374479,4.205580307033989,-0.1415997028198636
LEC,Monaco,2022,Ferrari,2022-05-29,-1.2454217919558137,-0.191582862274263,4.865419003443065,-0.2022574189917366
MAG,Monaco,2022,Haas F1 Team,2022-05-29,5.196144610112239,1.0301145382297,2.8750175916769263,-0.2784547373986286
MSC,Monaco,2022,Haas F1 Team,2022-05-29,5.196144610112239,-1.0301145382297,3.4620463832111628,-0.2372814664816376
NOR,Monaco,2022,McLaren,2022-05-29,-0.113442663154404,-0.8500395701185972,5.254197352327513,-0.2302907087140624
OCO,Monaco,2022,Alpine,2022-05-29,0.0753519261898831,-1.200741200659382,4.997112931775259,-0.2483946009193696
PER,Monaco,2022,Red Bull Racing,2022-05-29,-1.4021489588127785,0.0562987262821126,5.126473922569221,-0.2220696832213169
RIC,Monaco,2022,McLaren,2022-05-29,-0.113442663154404,0.8500395701185972,4.982760505658813,-0.2944950714728919
RUS,Monaco,2022,Mercedes,2022-05-29,-0.6553633377307932,-0.2451165819304007,5.150520656470357,-0.2232299103226932
SAI,Monaco,2022,Ferrari,2022-05-29,-1.2454217919558137,0.191582862274263,4.711995412382416,-0.1662029268602653
STR,Monaco,2022,Aston Martin,2022-05-29,0.3071222470923484,-0.1687784548794035,4.419223414784417,-0.2624424771331439
TSU,Monaco,2022,RB,2022-05-29,0.0566888291033628,0.1618642484877972,4.802250589923292,-0.1381440333013648
VER,Monaco,2022,Red Bull Racing,2022-05-29,-1.4021489588127785,-0.0562987262821126,5.075980314846824,-0.216798125500132
VET,Monaco,2022,Aston Martin,2022-05-29,0.3071222470923484,0.2479261520880261,4.998048499301996,-0.2805366266489691
